"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXRCBUS","194913","4460.588","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195013","4829.528","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195113","5104.68","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195213","5158.406","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195313","5052.749","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195413","5262.555","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195513","5608.073","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195613","5839.664","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195713","5744.189","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195813","6125.681","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","195913","6188.68","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196013","6651.233","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196113","6776.017","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196213","7080.156","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196313","7090.289","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196413","7112.235","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196513","7279.925","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196613","7500.922","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196713","7711.953","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196813","7933.383","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","196913","8243.522","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197013","8323.12","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197113","8428.176","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197213","8628.162","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197301","1339.302","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197302","1174.916","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197303","983.386","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197304","715.392","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197305","535.901","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197306","366.93","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
