station_name,lat,long,elevation
62nd St at Claremont Ave,37.8494355,-122.2525406,62.0
MLK Jr Way at University Ave,37.8717192,-122.2730677,51.0
Precita Park,37.7472996,-122.4114029,15.0
San Pablo Park,37.85578332030199,-122.28312671184538,21.0
Broadway at 40th St,37.8277573,-122.2567156,24.0
Masonic Ave at Turk St,37.779046658472055,-122.44729131460188,89.0
Mason St at Halleck St,37.803968,-122.455079,6.0
Market St at Franklin St,37.7737932060887,-122.42123901844025,20.0
23rd St at San Bruno Ave,37.75452190090258,-122.40403879371094,33.0
Webster St at 2nd St,37.795194764385954,-122.27396965026855,2.0
Pierce Ave at Market St,37.327581,-121.884559,28.0
Telegraph Ave at 27th St,37.816073115011406,-122.26788640022278,9.0
Julian St at The Alameda,37.3322326,-121.9125165,25.0
Washington St at Van Ness Ave,37.792979854977766,-122.4233016371727,73.0
Funston Ave at Clement St,37.78244163642955,-122.47198741577115,57.0
45th St at MLK Jr Way,37.8335577,-122.2674183,25.0
Balboa Park,37.72489268384971,-122.4432384967804,53.0
19th St at William St,37.338468014146,-121.86652064323424,26.0
,37.8,-122.43,16.0
San Francisco Public Library,37.778799,-122.4159632,25.0
Brannan St at Harriet St,37.774256,-122.40185,3.0
Franklin St at 13th St,37.80303013575619,-122.27049618959428,15.0
Myrtle St at Polk St,37.785479,-122.419342,46.0
40th St at Piedmont Ave,37.825785004382006,-122.25346968515623,32.0
Esprit Park,37.7616343,-122.3906477,15.0
7th St at King St,37.77122901793374,-122.40088641643524,4.0
Brannan St at 4th St,37.77793367006746,-122.3969730734825,6.0
Bush St at Leavenworth St,37.78942643725219,-122.41517064379924,75.0
Bushrod Park,37.8465156,-122.2653043,37.0
3rd St at King St,37.777899,-122.391414,10.0
Jones St at Post St,37.7873267660624,-122.41327822208405,47.0
Clay St at Battery St,37.795001,-122.39997,25.0
7th Ave at Lawton St,37.7587,-122.463774,117.0
22nd St at Dolores St,37.75497924740551,-122.4257846673065,46.0
