rank,competition,golfer,winnings
1,PGA, Norman,1165
2,PGA, Levi,1024
3,PGA, Stewart,976
4,PGA, Azinger,944
5,PGA, Mudd,911
6,PGA, Irwin,838
7,PGA, Calcavecchia,834
8,PGA, Simpson,809
9,PGA, Couples,757
10,PGA, O’Meara,707
11,PGA, Morgan,702
12,PGA, Mayfair,693
13,PGA, Wadkins,673
14,PGA, Mize,668
15,PGA, Kite,658
16,PGA, Baker-Finch,611
17,PGA, Beck,571
18,PGA, Elkington,548
19,PGA, Jacobsen,547
20,PGA, Love,537
21,PGA, Grady,527
22,PGA, Price,520
23,PGA, Tway,495
24,PGA, Roberts,478
25,PGA, Gallagher,476
26,PGA, Pavin,468
27,PGA, Gamez,461
28,PGA, Cook,448
29,PGA, Tennyson,443
30,PGA, Huston,435
1,LPGA, Daniel,863
2,LPGA, Sheehan,732
3,LPGA, King,543
4,LPGA, Gerring,487
5,LPGA, Bradley,480
6,LPGA, Jones,353
7,LPGA, Okamoto,302
8,LPGA, Lopez,301
9,LPGA, Ammacapane,300
10,LPGA, Rarick,259
11,LPGA, Coe,240
12,LPGA, Mochrie,231
13,LPGA, Walker,225
14,LPGA, Johnson,187
15,LPGA, Richard,186
16,LPGA, Geddes,181
17,LPGA, Keggi,180
18,LPGA, Crosby,169
19,LPGA, Massey,166
20,LPGA, Figg-Currier,157
21,LPGA, Johnston,156
22,LPGA, Green,155
23,LPGA, Mucha,149
24,LPGA, Eggeling,147
25,LPGA, Rizzo,145
26,LPGA, Brown,140
27,LPGA, Mallon,129
28,LPGA, Hammel,128
29,LPGA, Benz,128
30,LPGA, Turner,122
1,SR, Trevino,1190
2,SR, Hill,895
3,SR, Coody,762
4,SR, Archer,749
5,SR, Rodriguez,729
6,SR, Dent,693
7,SR, Charles,584
8,SR, Douglass,568
9,SR, Player,507
10,SR, McBee,480
11,SR, Crampton,464
12,SR, Henning,409
13,SR, Geiberger,373
14,SR, Hill,354
15,SR, Nicklaus,340
16,SR, Beard,327
17,SR, Mowry,314
18,SR, Thompson,308
19,SR, Dill,278
20,SR, Zembriski,276
21,SR, Barber,274
22,SR, Moody,273
23,SR, Bies,265
24,SR, Kelley,263
25,SR, Jimenez,246
26,SR, Shaw,235
27,SR, Massengale,229
28,SR, January,216
29,SR, Cain,208
30,SR, Powell,208
