state,abbr,centers
Texas,TX,394
North Dakota,ND,23
Virginia,VA,570
New York,NY,133
Washington,WA,107
Kentucky,KY,37
California,CA,288
Missouri,MO,74
Georgia,GA,201
Minnesota,MN,74
Michigan,MI,70
Arizona,AZ,155
Illinois,IL,206
Pennsylvania,PA,104
Florida,FL,107
Nebraska,NE,36
Kansas,KS,21
Maryland,MD,39
Ohio,OH,195
Connecticut,CT,52
Tennessee,TN,61
New Jersey,NJ,69
Louisiana,LA,22
Wyoming,WY,21
South Carolina,SC,33
Massachusetts,MA,46
District of Columbia,DC,6
Maine,ME,8
North Carolina,NC,93
Iowa,IA,95
Indiana,IN,76
Colorado,CO,56
Nevada,NV,68
Idaho,ID,17
Wisconsin,WI,51
Oregon,OR,121
Utah,UT,41
Alabama,AL,23
Oklahoma,OK,37
New Mexico,NM,21
Arkansas,AR,11
Montana,MT,25
Mississippi,MS,11
Hawaii,HI,9
Delaware,DE,18
West Virginia,WV,8
Alaska,AK,7
New Hampshire,NH,10
Rhode Island,RI,7
Vermont,VT,3
South Dakota,SD,5
