location,price,sector,year
New England,27.68,Residential,2024
Connecticut,28.75,Residential,2024
Maine,24.29,Residential,2024
Massachusetts,29.35,Residential,2024
New Hampshire,23.4,Residential,2024
Rhode Island,28.65,Residential,2024
Vermont,21.9,Residential,2024
Middle Atlantic,20.63,Residential,2024
New Jersey,19.34,Residential,2024
New York,24.43,Residential,2024
Pennsylvania,17.77,Residential,2024
East North Central,16.48,Residential,2024
Illinois,15.87,Residential,2024
Indiana,14.77,Residential,2024
Michigan,19.3,Residential,2024
Ohio,15.99,Residential,2024
Wisconsin,17.18,Residential,2024
West North Central,13.47,Residential,2024
Iowa,13.4,Residential,2024
Kansas,14.15,Residential,2024
Minnesota,15.45,Residential,2024
Missouri,12.91,Residential,2024
Nebraska,11.53,Residential,2024
North Dakota,11.51,Residential,2024
South Dakota,12.86,Residential,2024
South Atlantic,14.51,Residential,2024
Delaware,16.57,Residential,2024
District of Columbia,17.71,Residential,2024
Florida,14.14,Residential,2024
Georgia,14.08,Residential,2024
Maryland,17.86,Residential,2024
North Carolina,14.13,Residential,2024
South Carolina,14.23,Residential,2024
Virginia,14.41,Residential,2024
West Virginia,15.07,Residential,2024
East South Central,13.4,Residential,2024
Alabama,15.18,Residential,2024
Kentucky,12.79,Residential,2024
Mississippi,13.39,Residential,2024
Tennessee,12.42,Residential,2024
West South Central,14.04,Residential,2024
Arkansas,12.32,Residential,2024
Louisiana,11.73,Residential,2024
Oklahoma,12.24,Residential,2024
Texas,14.94,Residential,2024
Mountain,14.12,Residential,2024
Arizona,14.91,Residential,2024
Colorado,14.92,Residential,2024
Idaho,11.52,Residential,2024
Montana,12.66,Residential,2024
Nevada,15.0,Residential,2024
New Mexico,14.2,Residential,2024
Utah,12.22,Residential,2024
Wyoming,12.47,Residential,2024
Pacific Contiguous,24.23,Residential,2024
California,31.97,Residential,2024
Oregon,14.7,Residential,2024
Washington,11.9,Residential,2024
Pacific Noncontiguous,34.95,Residential,2024
Alaska,24.82,Residential,2024
Hawaii,42.86,Residential,2024
U.S. Total,16.48,Residential,2024
New England,28.73,Residential,2023
Connecticut,29.88,Residential,2023
Maine,27.42,Residential,2023
Massachusetts,29.61,Residential,2023
New Hampshire,28.15,Residential,2023
Rhode Island,27.02,Residential,2023
Vermont,20.82,Residential,2023
Middle Atlantic,19.6,Residential,2023
New Jersey,17.7,Residential,2023
New York,22.24,Residential,2023
Pennsylvania,18.1,Residential,2023
East North Central,16.19,Residential,2023
Illinois,15.71,Residential,2023
Indiana,14.94,Residential,2023
Michigan,18.84,Residential,2023
Ohio,15.38,Residential,2023
Wisconsin,16.88,Residential,2023
West North Central,13.02,Residential,2023
Iowa,13.31,Residential,2023
Kansas,13.38,Residential,2023
Minnesota,14.73,Residential,2023
Missouri,12.58,Residential,2023
Nebraska,11.2,Residential,2023
North Dakota,11.01,Residential,2023
South Dakota,12.32,Residential,2023
South Atlantic,14.45,Residential,2023
Delaware,15.73,Residential,2023
District of Columbia,16.45,Residential,2023
Florida,15.21,Residential,2023
Georgia,13.69,Residential,2023
Maryland,16.6,Residential,2023
North Carolina,12.93,Residential,2023
South Carolina,13.68,Residential,2023
Virginia,14.26,Residential,2023
West Virginia,14.05,Residential,2023
East South Central,13.11,Residential,2023
Alabama,14.63,Residential,2023
Kentucky,12.65,Residential,2023
Mississippi,13.23,Residential,2023
Tennessee,12.19,Residential,2023
West South Central,13.68,Residential,2023
Arkansas,12.25,Residential,2023
Louisiana,11.55,Residential,2023
Oklahoma,12.08,Residential,2023
Texas,14.46,Residential,2023
Mountain,13.68,Residential,2023
Arizona,14.02,Residential,2023
Colorado,14.3,Residential,2023
Idaho,11.05,Residential,2023
Montana,12.54,Residential,2023
Nevada,16.67,Residential,2023
New Mexico,13.85,Residential,2023
Utah,11.2,Residential,2023
Wyoming,11.46,Residential,2023
Pacific Contiguous,22.02,Residential,2023
California,29.51,Residential,2023
Oregon,12.73,Residential,2023
Washington,10.98,Residential,2023
Pacific Noncontiguous,34.4,Residential,2023
Alaska,23.9,Residential,2023
Hawaii,42.39,Residential,2023
U.S. Total,16.0,Residential,2023
New England,20.55,Commercial,2024
Connecticut,21.21,Commercial,2024
Maine,18.22,Commercial,2024
Massachusetts,20.9,Commercial,2024
New Hampshire,19.4,Commercial,2024
Rhode Island,21.09,Commercial,2024
Vermont,18.89,Commercial,2024
Middle Atlantic,15.69,Commercial,2024
New Jersey,14.64,Commercial,2024
New York,18.77,Commercial,2024
Pennsylvania,11.03,Commercial,2024
East North Central,12.13,Commercial,2024
Illinois,11.81,Commercial,2024
Indiana,12.44,Commercial,2024
Michigan,14.01,Commercial,2024
Ohio,10.66,Commercial,2024
