"Table 2.10. Average Price of Electricity to Ultimate Customers by End-Use Sector,",,,,,,,,,,
"by State, 2024 and 2023 (Cents per Kilowatthour)",,,,,,,,,,
,Residential,,Commercial,,Industrial,,Transportation,,All Sectors,
"Census Division
and State",Year 2024,Year 2023,Year 2024,Year 2023,Year 2024,Year 2023,Year 2024,Year 2023,Year 2024,Year 2023
New England,27.68,28.73,20.55,19.42,16.28,15.81,12.99,13.01,23.03,22.81
Connecticut,28.75,29.88,21.21,19.99,17.12,15.69,17.77,21.55,24.37,24.24
Maine,24.29,27.42,18.22,17.88,12.46,12.30,--,--,19.66,20.84
Massachusetts,29.35,29.61,20.90,19.62,18.19,17.88,9.22,7.15,23.94,23.21
New Hampshire,23.40,28.15,19.40,20.40,16.21,15.76,--,--,20.60,22.96
Rhode Island,28.65,27.02,21.09,17.68,19.70,18.98,21.53,17.29,24.15,21.62
Vermont,21.90,20.82,18.89,18.00,11.58,11.27,--,--,18.41,17.53
Middle Atlantic,20.63,19.60,15.69,15.32,8.52,7.91,13.67,14.65,16.11,15.40
New Jersey,19.34,17.70,14.64,14.00,11.93,11.68,11.11,12.22,16.29,15.27
New York,24.43,22.24,18.77,18.01,9.17,6.87,14.70,15.70,19.66,18.28
Pennsylvania,17.77,18.10,11.03,11.26,7.87,7.75,9.96,10.21,12.51,12.57
East North Central,16.48,16.19,12.13,11.94,8.08,7.94,7.99,7.08,12.22,11.98
Illinois,15.87,15.71,11.81,11.24,8.83,8.20,7.76,6.90,12.21,11.75
Indiana,14.77,14.94,12.44,12.55,8.15,8.24,12.31,12.73,11.38,11.49
Michigan,19.30,18.84,14.01,13.40,8.26,8.16,14.09,13.67,14.16,13.68
Ohio,15.99,15.38,10.66,10.75,7.10,7.03,7.32,5.91,11.29,11.04
Wisconsin,17.18,16.88,12.63,12.76,8.54,8.68,18.36,17.21,12.72,12.72
West North Central,13.47,13.02,10.25,10.32,7.72,7.77,10.98,10.89,10.52,10.44
Iowa,13.40,13.31,10.22,10.33,6.80,6.91,--,--,9.34,9.42
Kansas,14.15,13.38,11.19,10.85,7.73,7.64,--,--,11.21,10.80
Minnesota,15.45,14.73,12.15,12.39,9.15,9.20,12.71,12.35,12.35,12.21
Missouri,12.91,12.58,10.26,10.14,7.87,7.90,9.94,9.77,11.06,10.87
Nebraska,11.53,11.20,8.39,8.76,7.66,7.63,--,--,9.07,9.14
North Dakota,11.51,11.01,7.19,7.38,7.25,7.37,--,--,7.93,8.03
