technology,year,penetration_perc
Amazon Prime users,2014,11.13
Amazon Prime users,2015,17.09
Amazon Prime users,2016,24.58
Amazon Prime users,2017,32.51
Amazon Prime users,2018,36.58
Automatic transmission,1910,0.0
Automatic transmission,1939,0.0
Automatic transmission,1951,36.0
Automatic transmission,1952,44.5
Automatic transmission,1953,50.0
Automatic transmission,1954,55.0
Automatic transmission,1955,63.5
Automatic transmission,1956,72.3
Automatic transmission,1957,80.0
Automatic transmission,1958,82.0
Automatic transmission,1959,81.0
Automatic transmission,1960,78.0
Automatic transmission,1961,77.0
Automatic transmission,1962,78.0
Automatic transmission,1963,80.0
Automatic transmission,1964,82.0
Automatic transmission,1965,84.0
Automatic transmission,1966,86.5
Automatic transmission,1967,89.5
Automatic transmission,1968,93.0
Automatic transmission,1969,95.0
Automatic transmission,1970,97.0
Automatic transmission,1971,97.5
Automatic transmission,1972,98.0
Automatic transmission,1973,98.5
Automatic transmission,1974,98.0
Automatic transmission,1975,98.5
Automatic transmission,1976,98.0
Automatic transmission,1977,99.0
Automatic transmission,1978,100.0
Automatic transmission,1979,100.0
Automatic transmission,1980,100.0
Automatic transmission,1981,100.0
Automatic transmission,1982,100.0
Automatic transmission,1983,100.0
Automatic transmission,1984,100.0
Automobile,1915,10.0
Automobile,1916,12.0
Automobile,1917,17.0
Automobile,1918,19.0
Automobile,1919,23.0
Automobile,1920,28.0
Automobile,1921,31.0
Automobile,1922,34.0
Automobile,1923,39.0
Automobile,1924,44.0
Automobile,1925,49.0
Automobile,1926,54.0
Automobile,1927,56.0
Automobile,1928,58.0
Automobile,1929,58.5
Automobile,1930,59.0
Automobile,1931,56.0
Automobile,1932,53.0
Automobile,1933,50.0
Automobile,1934,51.0
Automobile,1935,52.0
Automobile,1936,54.0
Automobile,1937,55.0
Automobile,1938,54.0
Automobile,1939,54.0
Automobile,1940,55.0
Automobile,1941,57.0
Automobile,1942,53.0
Automobile,1943,49.0
Automobile,1944,47.0
Automobile,1945,46.0
Automobile,1946,48.0
Automobile,1947,51.0
Automobile,1948,53.0
Automobile,1949,55.0
Automobile,1950,58.0
Automobile,1951,60.0
Automobile,1952,60.0
Automobile,1953,62.0
Automobile,1954,65.0
Automobile,1955,68.0
Automobile,1956,72.0
Automobile,1957,74.0
Automobile,1958,71.0
Automobile,1959,73.0
Automobile,1960,75.0
Automobile,1961,76.0
Automobile,1962,75.0
Automobile,1963,79.0
Automobile,1964,79.0
Automobile,1965,79.0
Automobile,1966,79.0
Automobile,1967,78.0
Automobile,1968,78.5
Automobile,1969,79.0
Automobile,1970,80.0
Automobile,1971,80.0
Automobile,1972,81.0
Automobile,1973,82.0
Automobile,1974,83.0
Automobile,1975,83.0
Automobile,1976,84.0
Automobile,1977,85.0
Automobile,1978,85.0
Automobile,1979,85.0
